	Unnamed: 0	sampleID	x	y
0	0	BQ0046-C	35.299	-23.716
1	1	BQ0047-C	35.299	-23.716
2	2	BQ0049-C	35.299	-23.716
3	3	BQ0050-C	35.299	-23.716
4	4	BQ0051-C	35.299	-23.716
5	5	BQ0052-C	35.299	-23.716
6	6	BQ0053-C	35.299	-23.716
7	7	BQ0054-C		
8	8	BQ0055-C	35.299	-23.716
9	9	BQ0056-C	35.299	-23.716
10	10	BQ0057-C	35.299	-23.716
11	11	BQ0058-C		
12	12	BQ0059-C		
13	13	BQ0060-C	35.299	-23.716
14	14	BQ0062-C	35.299	-23.716
15	15	BQ0064-C	35.299	-23.716
16	16	BQ0065-C	35.299	-23.716
17	17	BQ0066-C	35.299	-23.716
18	18	BQ0067-C	35.299	-23.716
19	19	BQ0068-C	35.299	-23.716
20	20	BQ0069-C	35.299	-23.716
21	21	BQ0070-C	35.299	-23.716
22	22	BQ0071-C	35.299	-23.716
23	23	BQ0072-C	35.299	-23.716
24	24	BQ0073-C	35.299	-23.716
25	25	BQ0074-C	35.299	-23.716
26	26	BQ0075-C	35.299	-23.716
27	27	BQ0076-C	35.299	-23.716
28	28	BQ0077-C	35.299	-23.716
29	29	BQ0078-C	35.299	-23.716
30	30	BQ0079-C	35.299	-23.716
31	31	BQ0080-C	35.299	-23.716
32	32	BQ0081-C	35.299	-23.716
33	33	BQ0082-C	35.299	-23.716
34	34	BQ0083-C		
35	35	BQ0084-C	35.299	-23.716
36	36	BQ0085-C	35.299	-23.716
37	37	BQ0086-C	35.299	-23.716
38	38	BQ0087-C	35.299	-23.716
39	39	BQ0088-C	35.299	-23.716
40	40	BQ0089-C	35.299	-23.716
41	41	BQ0090-C		
42	42	BQ0091-C		
43	43	BQ0092-C	35.299	-23.716
44	44	BQ0093-C	35.299	-23.716
45	45	BQ0094-C	35.299	-23.716
46	46	BQ0095-C	35.299	-23.716
47	47	BQ0096-C	35.299	-23.716
48	48	BQ0097-C	35.299	-23.716
