"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"AA0045-C"	-0.382819385407839	6.0619663380293	-0.45296173	7.21742817
"AA0046-C"	-0.265439390068654	6.1066625019123	-0.55570906	6.22264406
"AA0047-C"	-0.510087997232738	6.07365611838456	-1.16100879	7.66795933
"AA0048-C"	-0.374599596864677	6.00646959532124	-2.17520537	7.51243965
"AA0050-C"	-0.300903664246347	5.98505416991695	-2.31652687	7.73518288
"AA0057-C"	-0.250759942421583	6.07791879788627	-0.34905388	6.43292056
"AA0058-C"	-5.20107158711598	10.6896071956464	-2.02445129	8.30403253
"AA0059-C"	-0.253476210579493	6.09536796565777	-0.19912326	6.07797215
"AA0060-C"	-0.387277439658009	6.04862880972016	-1.82344711	7.61253889
"AA0061-C"	-0.226557821617943	5.82084716707969	-0.89726348	6.59719761
"AA0062-C"	-0.267649527828777	5.99512781520058	-1.93113623	7.51755319
"AA0069-C"	-0.297234308832198	6.07117698441416	-0.63879925	6.60557861
"AA0070-C"	-0.242671453303396	6.08725435733245	0.03766241	6.21674263
"AA0071-C"	-0.446476966930195	6.11577672422682	-1.53292655	7.77958386
"AA0072-C"	-0.399515106700088	6.04271257526338	-2.06823722	7.58596358
"AA0081-C"	-0.682463768993797	6.15392981268836	-2.85487689	8.2834712
"AA0082-C"	-0.247107134317057	6.09405922521303	-0.49258	6.39590074
"AA0084-C"	-0.260457029117608	5.74857829821476	-0.74801389	6.40250088
"AA0085-C"	-0.313752691396694	5.94161021654129	-2.02054674	7.32302075
"AA0086-C"	-0.598311287918868	6.12560684557351	-2.77817961	7.84308836
"AA0093-C"	-5.26660859316817	10.8518573560367	-2.38110386	8.73318416
"AA0094-C"	-0.299553113397963	6.09905891804612	-1.24476595	7.17833433
"AA0095-C"	-0.267991328502191	6.10386718482863	-1.71705502	8.17191572
"AA0096-C"	-0.284975318191309	5.98146532438645	-1.68188133	7.24958907
"AA0105-C"	-0.359807654303873	6.0291686633333	-1.37847142	7.62408893
"AA0106-C"	-0.272776849129515	6.07763792386802	-0.82531379	6.60691555
"AA0108-C"	-0.440414016987603	6.00874674444243	-2.39094525	7.7851764
"AA0117-C"	-0.295335894234146	6.03545628049201	-1.48465078	8.11187131
"AA0118-C"	-0.34900459470313	6.06166431063389	-1.45153935	8.00299988
"AA0119-C"	-0.462471191646161	6.07855426728488	-2.46851076	8.02729032
"AA0122-C"	-0.430475270833158	6.03320854956847	-2.50666403	7.84711568
"AA0129-C"	-0.39811504696619	6.06030660453232	-1.5726683	7.58475533
"AA0130-C"	-0.336500717587208	5.98627541394053	-1.93379439	7.94225136
"AA0131-C"	-0.444205414576658	6.13143170613875	-1.79906024	7.87693155
"AA0133-C"	-0.445856253897311	6.00709707115362	-2.06662635	7.53582555
"AA0137-C"	-4.8934859042417	10.943348855465	-2.04024694	8.27811275
"AB0085-Cx"	-4.34509870977199	11.1763021384185	-1.9075771	9.84773923
"AB0086-Cx"	-4.54843402704192	11.1142652797642	-4.62895634	10.10971864
"AB0096-C"	-4.72926772945467	11.1646266621466	-4.15872248	10.15032535
"AB0103-C"	-4.53118657925156	11.1079601835805	-3.9107803	9.90090667
"AB0104-Cx"	-4.68843977483708	11.1086308344354	-2.72617149	9.63849503
"AB0116-C"	-5.28124082525901	11.0185111491595	-1.73610171	9.41689458
"AB0117-C"	-4.70352243427483	11.1187472160055	-2.93009829	9.8239428
"AB0118-C"	-4.56716959524113	11.1521976636762	-3.9648503	9.95294827
"AB0119-C"	-4.57900841239416	11.1471606162289	-1.99082868	9.60677228
"AB0126-Cx"	-4.78120432190361	11.0965617080793	-3.09442856	9.59496246
"AB0127-C"	-4.86974835990451	11.1160547683289	-3.08623669	9.52369759
"AB0128-C"	-4.60883733457171	11.0771836853014	-2.67116683	9.75673218
"AB0129-C"	-4.89453342814561	11.0595872996668	-3.37890356	9.72495415
"AB0130-Cx"	-4.95697262878714	11.0470875152703	-1.65721026	9.68839907
"AB0133-C"	-4.65644308626877	11.1256553114828	-4.09779609	9.86282706
"AB0134-C"	-4.76185041769132	11.1065003895375	-3.04214017	9.64431887
"AB0135-C"	-4.60820274010966	11.1060004574394	-2.73551912	9.8427601
"AB0136-Cx"	-4.65628478789739	11.1039001933108	-2.85035931	9.75653235
"AB0143-Cx"	-5.33460465779573	10.9310176667227	-1.11625796	9.20225412
"AB0144-C"	-4.72677004533289	11.1443168292655	-4.6187233	10.22228012
"AB0145-C"	-4.64373061131722	11.0291019275946	-2.78174022	9.54255984
"AB0146-Cx"	-4.51606036883094	11.1173713368229	-2.95080176	9.86066167
"AB0147-C"	-7.38603195658674	10.7077293868047	-2.63992919	9.30054403
"AB0148-Cx"	-4.66696391547209	11.0352489894928	-3.67025432	9.8096699
"AB0150-Cx"	-5.2713643559591	10.9966560139148	0.6673293	9.08672327
"AB0151-Cx"	-5.97430298719739	10.7768543089444	-1.10048849	8.83526869
"AB0153-C"	-4.85148710044014	11.0690357005656	-4.16755736	9.95428912
"AB0155-Cx"	-4.7278809567017	11.1432183627409	-4.49138688	10.03292392
"AB0157-Cx"	-4.6221287949391	11.1346671192369	-3.02559132	9.67407535
"AB0158-Cx"	-4.50706973687704	11.1523797411269	-4.89596033	10.490829
"AB0159-C"	-5.00206470457412	11.0095415286414	-2.49308691	9.49224546
"AB0160-Cx"	-4.55153517842828	11.1174840128854	-3.25433636	10.14370471
"AB0161-C"	-4.85540750099439	11.0927589971316	-3.79272504	9.72746842
"AB0162-C"	-4.6533334902734	11.0978986930693	-3.70227712	9.66238926
"AB0164-C"	-4.72288802547781	11.1320601107512	-3.82141354	9.84634827
"AB0165-C"	-4.43302028953331	11.1513454228528	-4.10590686	10.13191149
"AB0166-C"	-4.50175537934617	11.0881832198528	-3.20606246	9.69577806
"AB0167-C"	-4.37337973036761	11.1639796639811	-3.84253635	10.15163878
"AB0169-C"	-4.66100724472679	11.1061772188645	-3.42018101	9.6570176
