"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"AA0045-C"	-0.410583884711754	6.03039616787652	-1.19578001	7.22574275
"AA0046-C"	-0.25023239298297	6.07647967589555	-0.01827028	6.0318692
"AA0047-C"	-0.640150599333079	6.24504724635374	-2.08848456	7.84109806
"AA0048-C"	-0.354790483146076	5.95131595037001	-1.7832488	7.33683814
"AA0050-C"	-0.356497828284128	6.09793349348774	-2.42853229	7.60663046
"AA0057-C"	-0.263031836965416	6.05701448246728	-1.12906634	6.58127133
"AA0058-C"	-0.527335932705762	6.10790191716669	-3.22179846	8.28173831
"AA0059-C"	-0.26795211062862	6.08658124860605	-0.428755	6.2029187
"AA0060-C"	-0.40515398200483	6.02245349854822	-1.7831103	7.20536854
"AA0061-C"	-0.237345053015279	5.73834457587617	-0.96517685	6.40936544
"AA0062-C"	-0.502532332439708	6.09744874824201	-2.1845114	7.46075304
"AA0069-C"	-0.263290423055954	6.05954151062053	-1.39126331	6.88983654
"AA0070-C"	-0.272625284683313	6.10315057984921	-0.57043289	6.37407118
"AA0071-C"	-0.568656257308225	6.11283822476684	-2.13059918	7.91711213
"AA0072-C"	-0.426233168654644	6.02889962450648	-1.88476455	7.24444646
"AA0081-C"	-0.450298681441234	6.12915738804663	-2.63419118	8.02413977
"AA0082-C"	-0.240786595373988	6.06536494274808	-0.42929069	6.25027313
"AA0084-C"	-0.221583604726064	5.77133163578554	-1.17672043	6.45284094
"AA0085-C"	-0.404959750943263	6.01721212201847	-2.13247281	7.35160236
"AA0086-C"	-0.535475766480195	6.09466401178761	-3.02476297	7.69225279
"AA0093-C"	-4.96023010661555	10.8320438782207	-2.77219115	8.64796599
"AA0094-C"	-0.306791559072233	6.08679278402099	-1.65112111	7.16277051
"AA0095-C"	-0.455363705743904	6.14775900241957	-2.37355469	8.20190222
"AA0096-C"	-0.360885938880903	6.01540293197711	-1.97802904	7.20464999
"AA0105-C"	-0.473388905789202	6.04094647609841	-1.22645632	7.38710734
"AA0106-C"	-0.294088494757155	6.08235954038394	-1.07333236	6.64167964
"AA0108-C"	-0.516203363800217	6.08300290479276	-2.8849168	7.76655645
"AA0117-C"	-0.38525329129849	6.06513952962159	-2.07759947	7.93157462
"AA0118-C"	-0.452059157950389	6.15920647675234	-1.8937775	8.21656123
"AA0119-C"	-0.541390512534656	6.17366862136193	-2.86819409	8.18759702
"AA0122-C"	-0.393618670652499	6.04060314915742	-2.19832908	7.33109198
"AA0129-C"	-0.353252098730289	6.06731320875674	-2.70760667	7.75909488
"AA0130-C"	-0.424268717767575	6.09914453766063	-1.5267647	7.98606974
"AA0131-C"	-0.487974367992173	6.21096489902797	-2.39843502	7.90603699
"AA0133-C"	-0.329290285894306	6.01209969167536	-2.23322051	7.45717985
"AA0137-C"	-0.430709348047378	6.15227763520774	-2.6715294	8.17950903
"AB0085-Cx"	-4.40033192640162	11.163151915577	-2.84617956	9.93590375
"AB0086-Cx"	-4.76158107338352	11.1138743854815	-4.63881613	10.02190949
"AB0096-C"	-4.77337478785226	11.1373130373495	-4.77543768	10.1021137
"AB0103-C"	-4.80227662721991	11.0922906726613	-2.66796884	9.65070203
"AB0104-Cx"	-5.23640222955403	11.0812480657981	-2.64080877	9.36779626
"AB0116-C"	-5.00305037673505	11.0642156694976	-2.61614561	9.43526393
"AB0117-C"	-4.73121906582645	11.1148292976136	-3.86452323	9.99386957
"AB0118-C"	-4.61348079261682	11.1115160292512	-2.62535753	9.61708646
"AB0119-C"	-4.69369744872496	11.1204135812538	-3.17365753	9.75505091
"AB0126-Cx"	-5.1163183815393	11.0784063708563	-3.0406159	9.69612699
"AB0127-C"	-4.81078743531459	11.1301346665442	-3.88552821	10.07099417
"AB0128-C"	-4.55325428960884	11.1393707403548	-3.08032816	9.89645746
"AB0129-C"	-4.9361267238903	11.0713125699076	-4.01679566	9.81133902
"AB0130-Cx"	-4.98519442681833	11.0846177120582	-2.18024542	9.51403826
"AB0133-C"	-4.82909006785157	11.1330755755974	-4.55284997	9.96662299
"AB0134-C"	-4.86163343935782	11.0886484724864	-2.71813699	9.57578634
"AB0135-C"	-4.65201849890871	11.1165361394266	-3.91671587	9.95335361
"AB0136-Cx"	-5.36165152075203	11.0404149937019	-2.64098531	9.51909028
"AB0143-Cx"	-4.91243711309159	11.1002941917182	-1.76544239	9.52467336
"AB0144-C"	-4.78111736622734	11.0899158235207	-4.47811072	10.08442956
"AB0145-C"	-4.72978768715099	11.1068584127277	-3.61562554	9.65422079
"AB0146-Cx"	-4.93962784197283	11.1274541850898	-3.06274771	9.76725764
"AB0147-C"	-7.55310305161939	10.5745783126037	-3.46372986	9.47681552
"AB0148-Cx"	-5.06421860824211	11.1070364761521	-3.90249902	9.69400421
"AB0150-Cx"	-5.43137520925967	10.8511633038874	-0.11667237	9.04863284
"AB0151-Cx"	-5.67849914970046	10.714423006855	-2.1967835	9.00887715
"AB0153-C"	-5.05216161247662	11.0689477360081	-5.05471433	9.94007824
"AB0155-Cx"	-4.8471183453264	11.103466837353	-3.62274742	9.7924187
"AB0157-Cx"	-4.87024958139601	11.1692124803306	-3.76105853	9.92274734
"AB0158-Cx"	-4.46586764556937	11.1821898479014	-5.08080826	10.81637136
"AB0159-C"	-4.71606460864462	11.1085883888474	-3.71250862	9.76063279
"AB0160-Cx"	-4.62297879174457	11.1534419216142	-4.05785588	10.2249905
