"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"AA0045-C"	-0.444942188773982	6.03312656267875	-0.89959604	7.18788085
"AA0046-C"	-0.271521349052096	6.08857360845901	-0.22476694	6.09570262
"AA0047-C"	-0.731181763575394	6.21006558541963	-1.24879032	7.64023515
"AA0048-C"	-0.389728820656691	5.93384311355316	-1.89446283	7.30564048
"AA0050-C"	-0.346158889471544	6.00583079041343	-2.3227886	7.65472544
"AA0057-C"	-0.258714807148277	6.08427075884738	-1.47595397	6.73845401
"AA0058-C"	-8.19799992800184	9.75662314527143	-3.06676919	8.40206067
"AA0059-C"	-0.255568159264635	6.05972184586127	-0.5052144	6.19788885
"AA0060-C"	-0.388701450915629	6.01078364106312	-1.75030474	7.17391398
"AA0061-C"	-0.227006964660227	5.75753082600832	-1.0320208	6.48125133
"AA0062-C"	-0.478072725082683	6.04035788972688	-1.9955275	7.42965901
"AA0069-C"	-0.279815507319791	6.08487965341567	-1.30455312	6.70352822
"AA0070-C"	-0.262128005904191	6.07992077023914	-0.41268901	6.15878412
"AA0071-C"	-0.565282683243964	6.08946583462574	-3.11272027	8.14924204
"AA0072-C"	-0.357950778548036	6.01499351354078	-1.52883945	7.24756154
"AA0081-C"	-0.616414919108527	6.09920531829933	-2.44179583	7.72507569
"AA0082-C"	-0.284421384145864	6.09310860136655	-0.40002733	6.30472809
"AA0084-C"	-0.231038461731927	5.75041554918733	-0.87097365	6.37500621
"AA0085-C"	-0.452192354732443	6.02908067410355	-1.96249648	7.25359144
"AA0086-C"	-0.471402118049696	6.02370279249791	-2.68596667	7.60130972
"AA0093-C"	-7.28676001219792	10.1216573586946	-2.60221581	8.56945112
"AA0094-C"	-0.258071101879352	6.06811683567842	-1.75526905	6.88124258
"AA0095-C"	-0.438524799488134	6.10456891416435	-1.82962102	8.02717414
"AA0096-C"	-0.400122166768883	5.98149704031573	-2.06945669	7.17142679
"AA0105-C"	-0.40747732438874	5.98960175453693	-2.2594528	7.62224419
