"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"FP0008-C"	-8.89763201033762	13.4214569407523	-2.92642635	10.23582272
"FP0009-C"	-8.57900242391011	13.4140829075904	-5.52824776	11.10970024
"FP0010-CW"	-9.73075015470526	13.9715537470007	-8.0407628	15.4331192
"FP0011-CW"	-9.92443217505303	13.8825029038441	-8.45809411	15.08280113
"FP0012-CW"	-8.19488049295485	13.4755163320541	-4.44204587	10.75950201
"FP0013-CW"	-8.04482924472226	13.2785483945731	-1.75968598	9.83711736
"FP0014-CW"	-10.2178176158337	13.8934185852063	-8.98363593	13.46210371
"FP0015-C"	-10.0140655581231	14.0975285430086	-8.15496834	14.41586591
"FP0016-C"	-8.54501691896251	13.6440069268856	-6.21347585	13.44740212
"FP0017-C"	-1.02184399359426	10.802926139543	-2.69233099	10.50228621
"FP0018-C"	-1.24957129445064	10.5872666368429	-3.52529519	10.1902605
"FP0019-CW"	-0.827598860656318	10.7229157134803	-3.64552644	10.67886189
"FP0020-C"	-7.90672569312603	13.3303730959043	-2.48770569	9.75186927
"FP0021-C"	-10.0975615464897	14.2004664541516	-7.67386393	14.96983461
"FP0022-C"	-9.76351832449838	13.9487697144303	-7.05509954	15.42567368
"FP0023-C"	-1.0694551878293	10.7181937107528	-2.96108358	9.98532999
"FP0024-C"	-1.0188798420975	10.7680599456484	-3.11581556	10.60230892
"FP0025-C"	-8.37047694488801	13.5757608117965	-3.26268006	10.71522057
"FP0028-C"	-0.913048529970844	10.7344994879269	-1.53523896	9.94046633
"FP0029-C"	-9.16493906120397	13.550948050476	-4.98003851	11.09636042
"FP0030-C"	-0.806987651967942	10.6808536565633	-3.07852995	10.36153674
"FP0031-C"	-0.979220290050115	10.7613377375751	-3.40727064	10.50422968
"FP0032-C"	-1.01144525282434	10.5389621531837	-3.42229854	10.1835656
"FP0033-C"	-10.170390651811	13.9039895644848	-8.22423212	15.34304707
"FP0034-C"	-9.82737010247373	14.0298222941097	-7.44108188	14.52083818
"FP0035-C"	-7.82859414850238	13.3964994349744	-4.44365206	10.6212509
"FP0037-CW"	-7.85234887403089	13.6167045683988	-7.14874696	14.18107602
"FP0038-C"	-0.838322703686295	10.6789333116906	-3.13763566	10.35092544
"FP0039-C"	-0.840239253033984	10.8198690113935	-3.88677696	10.9153673
"FP0040-C"	-10.0083261640413	13.9536254939452	-7.38807624	13.8457721
"FP0041-C"	-10.3292565779977	14.0803715947896	-7.4765734	14.04493617
"FP0042-C"	-8.22752046188358	13.450130660549	-5.97654396	11.45389833
"FP0043-C"	-0.887500950594873	10.7801774375991	-2.90812604	10.45625842
"FP0044-C"	-9.78565382531762	13.9209418827635	-7.99584275	14.92559372
"FP0045-CW"	-9.89069868138458	14.1496349558441	-6.68866393	14.8195124
"FP0046-C"	-1.28348343549288	10.825531658249	-4.01248501	11.03239394
"FP0047-C"	-7.85374655771091	13.3466463177698	-3.99694382	10.56948179
"FP0048-C"	-7.94446652654284	13.3908579073469	-5.54847766	11.15804706
"FP0050-CW"	-9.0838823437635	13.6045184468764	-6.00179823	11.40258935
"FP0051-C"	-8.07084753331305	13.2481088134073	-5.12029883	11.34601414
"FP0052-C"	-1.1384756657492	10.8083084189643	-2.17721895	9.90089083
"FP0054-C"	-7.91979883889477	13.309468707862	-2.9977583	10.2759996
"FP0055-C"	-0.99151945274027	10.7511644413244	-3.66815946	10.92581266
"FP0056-C"	-8.28995118177163	13.4061176208117	-4.40199351	11.11478826
"FP0057-C"	-10.4498757505305	14.2084391242339	-9.99228634	14.98154233
"FP0058-C"	-0.999017697037468	10.8465335336893	-3.18527969	10.68526717
"FP0059-C"	-10.8029171433295	14.0064441525502	-9.95856006	14.75859847
"FP0061-C"	-1.12114358511318	10.7618597158967	-2.97148734	10.51046164
"FP0062-C"	-10.5429204457295	14.3987666219382	-10.47469605	14.84578195
"FP0063-C"	-8.35512130957423	13.5757257650054	-3.5996104	10.67454419
"FP0065-C"	-10.2796335344422	14.017559115191	-10.12811291	14.88290371
"FP0066-C"	-10.207184020334	14.0623408631428	-7.34957519	13.37913453
"FP0067-C"	-10.5070669711353	14.0621344784243	-9.87805772	14.69790172
"FP0068-C"	-8.11890864605486	13.0423019432309	-2.98191298	10.21149363
"FP0069-C"	-0.918248818423093	10.7435876693986	-3.89742698	10.23529968
"FP0073-C"	-10.525315271763	14.0915223620463	-10.80961768	15.21738058
"FP0075-CW"	-8.75216200893055	13.8009564087177	-7.16027911	14.7738693
"FP0076-CW"	-9.43716461509953	13.6770482393976	-5.58434837	11.78769878
"FP0077-C"	-10.333180262753	14.1040176638712	-10.45616884	14.64970975
"FP0078-C"	-11.246184997997	13.5087387454068	-5.64117271	11.09511875
"FP0081-C"	-0.909614040515033	10.735933090834	-2.39315171	10.26969502
"FP0082-C"	-0.954899163897867	10.8100762140372	-3.85381583	10.64400449
"FP0083-CW"	-9.56304377223031	13.7150332466227	-6.20182303	12.27099205
"FP0084-C"	-8.05425179459857	13.3338724889749	-5.33062059	11.43178096
"FP0089-C"	-1.00289653417294	10.7495145125246	-4.35050555	11.25084165
"FP0090-C"	-8.48290803543588	13.5083355400943	-5.34032132	11.26830319
"FP0092-C"	-1.18993589214697	10.6337600451922	-3.33816365	9.53215189
"FP0093-C"	-8.13983921973249	13.6627585482219	-7.94667751	14.82869879
"FP0094-CW"	-7.81599204104276	13.4516812042591	-3.00149021	10.53142851
"FP0095-C"	-0.9234643495444	9.37918814343231	-1.62733438	9.01792162
"FP0096-C"	-0.893661670509108	10.7532787154222	-3.83973732	10.73402159
"FP0097-C"	-8.15143746509584	13.6892061239057	-8.10408504	15.13409218
"FP0098-C"	-0.842115975434089	10.7412033355878	-2.38873805	10.04283212
