"sampleID"	"kd_x"	"kd_y"	"gc_x"	"gc_y"
"FP0008-C"	-1.03723337859118	10.8478996592495	-4.15304027	10.94784811
"FP0009-C"	-8.32296850380252	13.1864219945168	-7.12791458	11.60259135
"FP0010-CW"	-9.14576804540502	16.930002637058	-8.35779126	16.56977306
"FP0011-CW"	-7.5951452284781	17.7606675509536	-7.99044004	16.18017198
"FP0012-CW"	-8.33578389328633	13.658643387864	-4.45387913	11.65612016
"FP0013-CW"	-8.30656874717315	13.6163924827955	-4.07664893	11.07808045
"FP0014-CW"	-10.2669649029357	13.8748586125498	-9.07936726	13.43321198
"FP0015-C"	-9.93629753066564	16.4807248237053	-8.4418227	14.27062976
"FP0016-C"	-9.49709877442647	16.74657475139	-7.82791128	13.77781128
"FP0017-C"	-8.51147776679445	13.2205814159699	-4.07558627	10.29351182
"FP0018-C"	-8.63556379619013	13.133739016032	-5.41649819	11.07818673
"FP0019-CW"	-9.39929697739087	13.5427237338788	-6.56388397	11.80600419
"FP0020-C"	-8.14181687707462	13.2576350680039	-3.9300276	10.63555028
"FP0021-C"	-9.44116826816818	16.7327131603419	-7.79381375	15.09702142
"FP0022-C"	-9.66879959558744	16.6395577451815	-8.59958122	15.45614072
"FP0023-C"	-8.18762184761056	13.3947239851072	-3.8005878	10.75627909
"FP0024-C"	-1.10177554358454	10.7682738315015	-3.89864551	10.98616855
"FP0025-C"	-10.0071732031882	13.3602445299613	-5.05004006	11.32419289
"FP0028-C"	-8.33967976080265	13.4157700630677	-4.50373308	10.65772305
"FP0029-C"	-10.0644950036322	13.4399558645275	-6.95153673	11.40312281
"FP0030-C"	-9.65441786640895	13.3418874034919	-4.88171919	10.49609487
"FP0031-C"	-0.947049649505495	10.7010146178251	-4.11693047	10.438392
"FP0032-C"	-0.99118427305908	10.6840137436255	-4.77161831	10.91032261
"FP0033-C"	-9.68892558542255	16.6590673330412	-8.40114774	15.01140368
"FP0034-C"	-9.69832472025723	16.5476962809635	-7.8693976	14.7011808
